ENGLISH,13099,3331,JJ
ONLY,189389,8648,JJ
LITERARY,536,4731,JJ
SMALL,23673,0649,JJ
ACADEMIC,587,9054,JJ
BRILLIANT,5529,3414,JJ
EASY,41981,9899,JJ
ACTIVE,1699,3913,JJ
MANY,68018,0382,JJ
POPULAR,3609,3793,JJ
POLITICAL,4995,0353,JJ
EARLIEST,441,1973,JJS
GREAT,112540,2075,JJ
FIRST,132451,5774,JJ
SUPPLEMENTAL,37,9531,JJ
STRONGEST,1082,6814,JJS
PERSONAL,11087,9922,JJ
ELDEST,658,8840,JJ
SECOND,39673,1702,JJ
VERY,210454,1483,JJ
PREMATURE,446,3863,JJ
HIGH,31711,9726,JJ
YOUNG,46349,1656,JJ
OTHER,116563,4720,JJ
APPROPRIATE,1571,9473,JJ
HISTORICAL,948,8749,JJ
COMPREHENSIVE,179,7168,JJ
CHIEF,16570,9150,JJ
PHILOSOPHICAL,288,5063,JJ
LONG,110202,0568,JJ
COMPLETE,8006,0945,JJ
RAPID,694,0105,JJ
GENERAL,20317,5241,JJ
SEPARATE,3490,2737,JJ
INSTITUTIONAL,71,5331,JJ
MEDIEVAL,488,7133,JJ
FEUDAL,119,0845,JJ
ECCLESIASTICAL,46,7804,JJ
FREE,31229,8536,JJ
EARLY,17107,9356,JJ
MODERN,4035,0098,JJ
PREPARATORY,34,2559,JJ
DETAILED,612,2412,JJ
SPECIAL,21536,1980,JJ
SUBSEQUENT,162,7566,JJ
ORIGINAL,4648,7928,JJ
CHARACTERISTIC,251,0535,JJ
IMPOSSIBLE,11857,1696,JJ
UNWILLING,187,2993,JJ
WHOLE,53203,6661,JJ
FULL,28663,8235,JJ
CONSTITUTIONAL,281,9033,JJ
SPECIFIC,2144,2140,JJ
JUDICIAL,234,6365,JJ
COOL,25005,8815,JJ
SUCH,58092,9086,JJ
SAME,70117,4249,JJ
IMPARTIAL,133,2224,JJ
PERFECT,21115,4925,JJ
TACIT,30,6316,JJ
RIGHT,537971,0456,JJ
PREVIOUS,1777,7407,JJ
WRONG,79064,2950,JJ
CLEAR,25775,7380,JJ
INCIDENTAL,63,6722,JJ
DEMOCRATIC,964,6617,JJ
IMPENDING,150,7809,JJ
CONSCIENTIOUS,170,4398,JJ
LEGAL,4662,4372,JJ
STANDARD,2400,0387,JJ
SUPPLEMENTARY,30,6267,JJ
ANCIENT,4914,8335,JJ
SLOW,11294,9916,JJ
HUMAN,21440,2682,JJ
CLASSICAL,1142,4931,JJ
SHORT,14526,2906,JJ
REMARKABLE,2006,6696,JJ
SPECULATIVE,53,1595,JJ
SCIENTIFIC,2366,3828,JJ
MISCELLANEOUS,60,9591,JJ
POLITE,2016,2834,JJ
