FRANCO,AQ0MS0,10897,6033
VISIGODA,AQ0FS0,119,2593
PRIMERA,AO0FS0,83428,5890
BIZANTINO,AQ0MS0,236,9450
MEROVINGIO,AQ0MS0,8,3852
INDIO,AQ0MS0,3033,8717
VISIGODO,AQ0MS0,117,0362
PROPIO,AQ0MS0,36979,8902
PRIMER,AO0MS0,69918,7782
NOBLE,AQ0CS0,2985,1625
CHINO,AQ0MS0,3649,8014
BEREBER,AQ0CS0,94,1596
EMPERADORA,AQ0FS0,7,4232
PARTIDARIOS,AQ0MP0,2702,4148
RELIGIOSA,AQ0FS0,4644,4480
CORTO,AQ0MS0,8312,4047
BIZANTINA,AQ0FS0,178,7142
ORIENTALES,AQ0CP0,1549,6729
LARGO,AQ0MS0,37315,6799
MAYOR,AQ0CS0,90166,4344
CELTAS,AQ0CP0,246,6880
SEGUNDO,AO0MS0,38160,0502
CIVIL,AQ0CS0,22758,1752
GRIEGA,AQ0FS0,1706,0006
IMPERIAL,AQ0CS0,2085,0559
CAROLINGIO,AQ0MS0,47,1307
SAN,AQ0CS0,46004,5999
INDEPENDIENTE,AQ0CS0,7598,1481
GALLEGO,AQ0MS0,3712,8615
GOBERNANTE,AQ0CS0,1992,9168
JOVEN,AQ0CS0,27024,0643
RELIGIOSO,AQ0MS0,4185,4830
MILITAR,AQ0CS0,25150,3692
TERCER,AO0MS0,13284,2537
MUSULMANAS,AQ0FP0,208,5697
CHINA,AQ0FS0,7939,6087
LEGENDARIO,AQ0MS0,831,9522
PIRATAS,AQ0CP0,975,2899
SARRACENOS,AQ0MP0,69,0430
ITALIANA,AQ0FS0,3794,0016
INFRUCTUOSA,AQ0FS0,167,9696
PERSONAL,AQ0CS0,27930,9922
ROMANO,AQ0MS0,2895,2140
GALLEGOS,AQ0MP0,1607,0103
ICONOCLASTA,AQ0CS0,167,7113
GRAN,AQ0CS0,106991,7215
NORMANDA,AQ0FS0,51,9166
VIKINGOS,AQ0MP0,84,2656
ENORME,AQ0CS0,11815,9510
SEGUNDA,AO0FS0,33363,9147
NUEVO,AQ0MS0,77262,1638
ESTRIDENTE,AQ0CS0,301,9845
ESCANDALOSA,AQ0FS0,434,0092
CUARTO,AO0MS0,18721,6643
OMEYA,AQ0CS0,35,7021
SACRO,AQ0MS0,476,4238
IMPORTANTE,AQ0CS0,48397,9507
VIKINGAS,AQ0FP0,13,0413
ORIENTAL,AQ0CS0,4192,8094
ESLAVA,AQ0FS0,151,2860
DANESAS,AQ0FP0,60,3383
PERSA,AQ0CS0,359,4543
SEXTO,AO0MS0,2837,5541
VELLOSO,AQ0MS0,52,7185
POSIBLE,AQ0CS0,49082,9918
MAESTRO,AQ0MS0,11975,6968
CIVIL,AQ0CS0,22758,1752
ANTIGUA,AQ0FS0,8406,0628
OPERATIVA,AQ0FS0,1029,4767
VIKINGA,AQ0FS0,28,4298
MISMO,AQ0MS0,130746,8219
OFICIAL,AQ0CS0,20905,9542
SAGRADA,AQ0FS0,1687,6953
TERCERA,AO0FS0,13694,4925
SOBERANO,AQ0MS0,1419,2517
MODERNA,AQ0FS0,6966,6381
MERIDIONAL,AQ0CS0,782,0114
GENERAL,AQ0CS0,95768,5241
INGLESA,AQ0FS0,2985,2451
ALEMANA,AQ0FS0,4505,5135
VIKINGO,AQ0MS0,71,0454
RUSO,AQ0MS0,3678,0135
OCCIDENTAL,AQ0CS0,7081,8469
JULIANO,AQ0MS0,281,6690
