countryCode,stateCode,stateName1,stateName2,stateName3,googleName,googleAdmin,countryName,lat,lng,bounds,combinaciones
AR,AR-C,Buenos Aires F.D.,Buenos Aires F.D.,Ciudad Autonoma de Buenos Aires,"Autonomous City of Buenos Aires, Argentina",administrative_area_level_1,Argentina,-34.6,-58.45,-34.5265464@-58.33518840000001*-34.7055085@-58.5314522,0
AR,AR-H,Chaco,Chaco,Provincia del Chaco,"Chaco Province, Argentina",administrative_area_level_1,Argentina,-26.33333,-60.5,-24.087868@-58.36362669999999*-27.9955354@-63.42735880000001,24
AR,AR-U,Chubut,Chubut,Provincia del Chubut,"Chubut Province, Argentina",administrative_area_level_1,Argentina,-44,-69,-41.9916218@-63.5832832*-46.0022302@-72.1973388,60
AR,AR-X,Cordoba,Cordoba,Provincia de Cordoba,"Cordoba, Argentina",administrative_area_level_1,Argentina,-32,-64,-29.4981645@-61.77744000000001*-34.9937@-65.7779767,30
AR,AR-W,Corrientes,Corrientes,Provincia de Corrientes,"Corrientes Province, Argentina",administrative_area_level_1,Argentina,-29,-58,-27.2482801@-55.6203167*-30.7211429@-59.7119606,20
AR,AR-E,Entre Rios,Entre Rios,Provincia de Entre Rios,"Entre Rios, Argentina",administrative_area_level_1,Argentina,-32,-59,-30.1576867@-57.81191139999999*-34.0352697@-60.7641285,20
AR,AR-P,Formosa,Formosa,Provincia de Formosa,"Formosa Province, Argentina",administrative_area_level_1,Argentina,-25,-60,-22.4580218@-57.5575981*-26.8712091@-62.34731379999999,30
AR,AR-L,La Pampa,La Pampa,Provincia de La Pampa,"La Pampa Province, Argentina",administrative_area_level_1,Argentina,-37,-66,-34.9924309@-63.38286970000001*-39.3295135@-68.2954501,36
AR,AR-M,Mendoza,Mendoza,Provincia de Mendoza,"Mendoza Province, Argentina",administrative_area_level_1,Argentina,-34.5,-68.5,-31.9628078@-66.50199479999999*-37.5789663@-70.57463589999999,35
AR,AR-Q,Neuquen,Neuquen,Provincia del Neuquen,"Neuquen, Argentina",administrative_area_level_1,Argentina,-39,-70,-36.0943859@-68.0005097*-41.0683692@-71.9615579,24
AR,AR-K,Provincia de Catamarca,Catamarca,Provincia de Catamarca,"Catamarca Province, Argentina",administrative_area_level_1,Argentina,-27,-67,-25.154159@-64.8243495*-29.8954714@-69.0860158,30
AR,AR-Y,Provincia de Jujuy,Jujuy,Provincia de Jujuy,"Jujuy, Argentina",administrative_area_level_1,Argentina,-23,-66,-21.7794585@-64.1549213*-24.6074314@-67.2374206,16
AR,AR-F,Provincia de La Rioja,La Rioja,Provincia de La Rioja,"La Rioja Province, Argentina",administrative_area_level_1,Argentina,-29.58333,-67,-27.7056245@-65.5204409*-31.9974404@-69.59425209999999,25
AR,AR-N,Provincia de Misiones,Misiones,Provincia de Misiones,"Misiones Province, Argentina",administrative_area_level_1,Argentina,-26.81427,-54.34387,-25.4954898@-53.6385579*-28.1621631@-56.05950439999999,16
AR,AR-J,Provincia de San Juan,San Juan,Provincia de San Juan,"San Juan Province, Argentina",administrative_area_level_1,Argentina,-31,-69,-28.36589@-66.8276764*-32.6268692@-70.56785909999999,25
AR,AR-D,Provincia de San Luis,San Luis,Provincia de San Luis,"San Luis Province, Argentina",administrative_area_level_1,Argentina,-34,-66,-31.862938@-64.8808183*-35.9941063@-67.38726439999999,20
AR,AR-T,Provincia de Tucuman,Tucuman,Provincia de Tucuman,"Tucuman, Argentina",administrative_area_level_1,Argentina,-27,-65.5,-26.0584289@-64.4780028*-27.9971035@-66.1620883,6
AR,AR-R,Rio Negro,Rio Negro,Provincia de Rio Negro,"Rio Negro, Argentina",administrative_area_level_1,Argentina,-40,-67,-37.5789663@-62.78731459999999*-42.0024984@-71.9029079,60
AR,AR-A,Salta,Salta,Provincia de Salta,"Salta Province, Argentina",administrative_area_level_1,Argentina,-24.75806,-65.43457,-21.998386@-62.3441087*-26.3878331@-68.5469763,42
AR,AR-Z,Santa Cruz,Santa Cruz,Provincia de Santa Cruz,"Santa Cruz Province, Argentina",administrative_area_level_1,Argentina,-49,-70,-45.9915403@-65.71788149999999*-52.3956017@-73.5948315,72
AR,AR-S,Santa Fe,Santa Fe,Provincia de Santa Fe,"Santa Fe Province, Argentina",administrative_area_level_1,Argentina,-31,-61,-27.9891993@-58.84400589999999*-34.4156649@-62.9360244,40
AR,AR-G,Santiago del Estero,Santiago del Estero,Provincia de Santiago del Estero,"Santiago del Estero Province, Argentina",administrative_area_level_1,Argentina,-28,-63.5,-25.6466647@-61.71080500000001*-30.4738496@-65.1891938,30
AR,AR-V,Tierra del Fuego,Tierra del Fuego,"Provincia de Tierra del Fuego, Antartida e Islas del Atlantico Sur","Tierra del Fuego Province, Argentina",administrative_area_level_1,Argentina,-54.5,-67,-52.658766@-65.1169847*-55.05719070000001@-68.6118639,16
BO,BO-H,Departamento de Chuquisaca,Chuquisaca,Departamento de Chuquisaca,"Chuquisaca Department, Bolivia",administrative_area_level_1,Bolivia,-20,-64.33333,-18.3504239@-62.19985999999999*-21.4982255@-65.69594599999999,16
BO,BO-C,Departamento de Cochabamba,Cochabamba,Departamento de Cochabamba,"Cochabamba Department, Bolivia",administrative_area_level_1,Bolivia,-17.5,-65.66667,-15.8001381@-64.1938859*-18.6818349@-67.011253,16
BO,BO-L,Departamento de La Paz,La Paz,Departamento de La Paz,"La Paz Department, Bolivia",administrative_area_level_1,Bolivia,-15.5,-68,-11.84971@-66.73428100000001*-18.041752@-69.640762,32
BO,BO-N,Departamento de Pando,Pando,Departamento de Pando,"Pando Department, Bolivia",administrative_area_level_1,Bolivia,-11.33333,-67.66667,-9.680567@-65.27995299999999*-12.5000421@-69.56644399999999,20
BO,BO-P,Departamento de Potosi,Potosi,Departamento de Potosi,"Potosi Department, Bolivia",administrative_area_level_1,Bolivia,-20.66667,-67,-17.796667@-64.719398*-22.8961329@-68.782471,30
BO,BO-S,Departamento de Santa Cruz,Santa Cruz,Departamento de Santa Cruz,"Santa Cruz, Bolivia",administrative_area_level_1,Bolivia,-17.5,-61.5,-13.4634269@-57.458096*-20.482981@-64.837982,64
BO,BO-T,Departamento de Tarija,Tarija,Departamento de Tarija,"Tarija Department, Bolivia",administrative_area_level_1,Bolivia,-21.5,-64,-20.885979@-62.2576899*-22.868658@-65.424004,12
BO,BO-B,El Beni,El Beni,El Beni,"Beni Department, Bolivia",administrative_area_level_1,Bolivia,-14,-65.5,-10.400086@-61.50248*-16.4470401@-67.54975999999999,49
BO,BO-O,Oruro,Oruro,Departamento de Oruro,"Oruro Department, Bolivia",administrative_area_level_1,Bolivia,-18.66667,-67.5,-17.3367279@-66.0804271*-19.869908@-69.13855699999999,12
BR,BR-AC,Acre,Acre,Acre,"State of Acre, Brazil",administrative_area_level_1,Brazil,-9,-70,-7.111826799999999@-66.62407089999999*-11.1452221@-73.9915154,40
BR,BR-AL,Alagoas,Alagoas,Alagoas,"State of Alagoas, Brazil",administrative_area_level_1,Brazil,-9.58333,-36.41667,-8.8131293@-35.1522142*-10.5037706@-38.2273267,12
BR,BR-AP,Amapa,Amapa,Amapa,"State of Amapa, Brazil",administrative_area_level_1,Brazil,1,-52,4.4431666@-49.8766847*-1.2361787@-54.8762441,42
BR,BR-AM,Amazonas,Amazonas,Amazonas,"State of Amazonas, Brazil",administrative_area_level_1,Brazil,-3.75,-64.5,2.246628@-56.0975519*-9.8180491@-73.8015533,234
BR,BR-BA,Bahia,Bahia,Bahia,"State of Bahia, Brazil",administrative_area_level_1,Brazil,-12,-42,-8.5328229@-37.3484113*-18.335937@-46.6170906,110
BR,BR-CE,Ceara,Ceara,Ceara,"State of Ceara, Brazil",administrative_area_level_1,Brazil,-5,-39.5,-2.7844329@-37.2530223*-7.858185100000001@-41.4235126,30
BR,BR-ES,Espirito Santo,Espirito Santo,Espirito Santo,"State of Espirito Santo, Brazil",administrative_area_level_1,Brazil,-20,-40.75,-17.891947@-28.8359374*-21.3017845@-41.8797894,70
BR,BR-DF,Federal District,Federal District,Federal District,"Federal District, Brazil",administrative_area_level_1,Brazil,-15.75,-47.75,-15.5001712@-47.3081926*-16.0517624@-48.2870947,4
BR,BR-GO,Goias,Goias,Goias,"State of Goias, Brazil",administrative_area_level_1,Brazil,-15.58071,-49.63623,-12.3952134@-45.906962*-19.4991531@-53.2512032,72
BR,BR-MA,Maranhao,Maranhao,Maranhao,"State of Maranhao, Brazil",administrative_area_level_1,Brazil,-5,-45,-1.049999@-41.7958785*-10.2617676@-48.7551446,80
BR,BR-MT,Mato Grosso,Mato Grosso,Mato Grosso,"State of Mato Grosso, Brazil",administrative_area_level_1,Brazil,-13,-56,-7.349037199999999@-50.2247999*-18.0420517@-61.63319459999999,144
BR,BR-MS,Mato Grosso do Sul,Mato Grosso do Sul,Mato Grosso do Sul,"State of Mato Grosso do Sul, Brazil",administrative_area_level_1,Brazil,-20.5,-55,-17.1666336@-50.9229023*-24.0561184@-58.16705729999999,72
BR,BR-MG,Minas Gerais,Minas Gerais,Minas Gerais,"State of Minas Gerais, Brazil",administrative_area_level_1,Brazil,-18,-44,-14.233183@-39.8568263*-22.9227576@-51.0460748,117
BR,BR-PB,Paraiba,Paraiba,Paraiba,"State of Paraiba, Brazil",administrative_area_level_1,Brazil,-7.25,-36.5,-6.0259143@-34.7931207*-8.3029572@-38.7656069,15
BR,BR-PR,Parana,Parana,Parana,"State of Parana, Brazil",administrative_area_level_1,Brazil,-24.5,-51.33333,-22.5166644@-48.0259674*-26.7172983@-54.6192979,35
